UNIVERSIDAD,TIPO DE GESTIÓN,Dim Sexo.Desc Sexo,Cant Estudiantes
UNIVERSIDAD ALAS PERUANAS S.A.,PRIVADA SOCIETARIA,FEMENINO,15915
UNIVERSIDAD ALAS PERUANAS S.A.,PRIVADA SOCIETARIA,MASCULINO,5431
UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,FEMENINO,4854
UNIVERSIDAD PRIVADA SAN JUAN BAUTISTA SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,MASCULINO,2357
UNIVERSIDAD DE SAN MARTÍN DE PORRES,PRIVADA ASOCIATIVA,FEMENINO,4607
UNIVERSIDAD DE SAN MARTÍN DE PORRES,PRIVADA ASOCIATIVA,MASCULINO,2401
UNIVERSIDAD PRIVADA ANTENOR ORREGO,PRIVADA ASOCIATIVA,FEMENINO,3825
UNIVERSIDAD PRIVADA ANTENOR ORREGO,PRIVADA ASOCIATIVA,MASCULINO,2047
UNIVERSIDAD SAN PEDRO,PRIVADA ASOCIATIVA,FEMENINO,4278
UNIVERSIDAD SAN PEDRO,PRIVADA ASOCIATIVA,MASCULINO,1406
UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE,PRIVADA ASOCIATIVA,FEMENINO,4302
UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE,PRIVADA ASOCIATIVA,MASCULINO,1067
UNIVERSIDAD PRIVADA NORBERT WIENER S.A.,PRIVADA SOCIETARIA,FEMENINO,3992
UNIVERSIDAD PRIVADA NORBERT WIENER S.A.,PRIVADA SOCIETARIA,MASCULINO,1171
UNIVERSIDAD ANDINA NÉSTOR CÁCERES VELÁSQUEZ,PRIVADA ASOCIATIVA,FEMENINO,3794
UNIVERSIDAD ANDINA NÉSTOR CÁCERES VELÁSQUEZ,PRIVADA ASOCIATIVA,MASCULINO,1359
UNIVERSIDAD CÉSAR VALLEJO S.A.C.,PRIVADA SOCIETARIA,FEMENINO,3728
UNIVERSIDAD CÉSAR VALLEJO S.A.C.,PRIVADA SOCIETARIA,MASCULINO,1170
UNIVERSIDAD PERUANA LOS ANDES,PRIVADA ASOCIATIVA,FEMENINO,3131
UNIVERSIDAD PERUANA LOS ANDES,PRIVADA ASOCIATIVA,MASCULINO,1352
UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,PUBLICO,FEMENINO,2595
UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,PUBLICO,MASCULINO,1817
UNIVERSIDAD PRIVADA DEL NORTE S.A.C.,PRIVADA SOCIETARIA,FEMENINO,3076
UNIVERSIDAD PRIVADA DEL NORTE S.A.C.,PRIVADA SOCIETARIA,MASCULINO,836
UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,FEMENINO,2715
UNIVERSIDAD PRIVADA DE HUANCAYO FRANKLIN ROOSEVELT SOCIEDAD ANÓNIMA CERRADA,PRIVADA SOCIETARIA,MASCULINO,820
UNIVERSIDAD NACIONAL FEDERICO VILLARREAL,PUBLICO,FEMENINO,2268
UNIVERSIDAD NACIONAL FEDERICO VILLARREAL,PUBLICO,MASCULINO,1266
UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL,PRIVADA ASOCIATIVA,FEMENINO,2440
UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL,PRIVADA ASOCIATIVA,MASCULINO,898
UNIVERSIDAD PARTICULAR DE CHICLAYO,PRIVADA ASOCIATIVA,FEMENINO,2027
UNIVERSIDAD PARTICULAR DE CHICLAYO,PRIVADA ASOCIATIVA,MASCULINO,991
UNIVERSIDAD PERUANA CAYETANO HEREDIA,PRIVADA ASOCIATIVA,FEMENINO,1825
UNIVERSIDAD PERUANA CAYETANO HEREDIA,PRIVADA ASOCIATIVA,MASCULINO,810
UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,PRIVADA SOCIETARIA,FEMENINO,1694
UNIVERSIDAD PERUANA DE CIENCIAS APLICADAS S.A.C.,PRIVADA SOCIETARIA,MASCULINO,899
UNIVERSIDAD CATÓLICA DE SANTA MARÍA,PRIVADA ASOCIATIVA,FEMENINO,1753
UNIVERSIDAD CATÓLICA DE SANTA MARÍA,PRIVADA ASOCIATIVA,MASCULINO,798
UNIVERSIDAD ANDINA DEL CUSCO,PRIVADA ASOCIATIVA,FEMENINO,1561
UNIVERSIDAD ANDINA DEL CUSCO,PRIVADA ASOCIATIVA,MASCULINO,750
UNIVERSIDAD NACIONAL DE TRUJILLO,PUBLICO,FEMENINO,1469
UNIVERSIDAD NACIONAL DE TRUJILLO,PUBLICO,MASCULINO,834
UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.,PRIVADA SOCIETARIA,FEMENINO,1480
UNIVERSIDAD CIENTÍFICA DEL SUR S.A.C.,PRIVADA SOCIETARIA,MASCULINO,792
UNIVERSIDAD RICARDO PALMA,PRIVADA ASOCIATIVA,FEMENINO,1397
UNIVERSIDAD RICARDO PALMA,PRIVADA ASOCIATIVA,MASCULINO,789
UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,PUBLICO,FEMENINO,1460
UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,PUBLICO,MASCULINO,711
UNIVERSIDAD NACIONAL DEL ALTIPLANO,PUBLICO,FEMENINO,1432
UNIVERSIDAD NACIONAL DEL ALTIPLANO,PUBLICO,MASCULINO,697
UNIVERSIDAD DE HUÁNUCO,PRIVADA ASOCIATIVA,FEMENINO,1508
UNIVERSIDAD DE HUÁNUCO,PRIVADA ASOCIATIVA,MASCULINO,385
UNIVERSIDAD TECNOLÓGICA DE LOS ANDES,PRIVADA ASOCIATIVA,FEMENINO,1317
UNIVERSIDAD TECNOLÓGICA DE LOS ANDES,PRIVADA ASOCIATIVA,MASCULINO,393
UNIVERSIDAD SEÑOR DE SIPÁN,PRIVADA SOCIETARIA,FEMENINO,1297
UNIVERSIDAD SEÑOR DE SIPÁN,PRIVADA SOCIETARIA,MASCULINO,404
UNIVERSIDAD NACIONAL HERMILIO VALDIZÁN DE HUÁNUCO,PUBLICO,FEMENINO,1162
UNIVERSIDAD NACIONAL HERMILIO VALDIZÁN DE HUÁNUCO,PUBLICO,MASCULINO,529
UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA,PUBLICO,FEMENINO,1250
UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA,PUBLICO,MASCULINO,342
UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA,PUBLICO,FEMENINO,1098
UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA,PUBLICO,MASCULINO,442
UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ,PUBLICO,FEMENINO,1022
UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ,PUBLICO,MASCULINO,359
UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA,PUBLICO,FEMENINO,726
UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA,PUBLICO,MASCULINO,627
UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA S.A.C,PRIVADA SOCIETARIA,FEMENINO,1278
UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA S.A.C,PRIVADA SOCIETARIA,MASCULINO,75
UNIVERSIDAD CONTINENTAL S.A.C.,PRIVADA SOCIETARIA,FEMENINO,881
UNIVERSIDAD CONTINENTAL S.A.C.,PRIVADA SOCIETARIA,MASCULINO,462
UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN,PUBLICO,FEMENINO,929
UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN,PUBLICO,MASCULINO,411
UNIVERSIDAD CIENTÍFICA DEL PERÚ,PRIVADA ASOCIATIVA,FEMENINO,988
UNIVERSIDAD CIENTÍFICA DEL PERÚ,PRIVADA ASOCIATIVA,MASCULINO,292
UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO S.A.C.,PRIVADA SOCIETARIA,FEMENINO,867
UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO S.A.C.,PRIVADA SOCIETARIA,MASCULINO,314
UNIVERSIDAD NACIONAL DE CAJAMARCA,PUBLICO,FEMENINO,811
UNIVERSIDAD NACIONAL DE CAJAMARCA,PUBLICO,MASCULINO,369
UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE,PRIVADA ASOCIATIVA,FEMENINO,878
UNIVERSIDAD CATÓLICA SEDES SAPIENTIAE,PRIVADA ASOCIATIVA,MASCULINO,227
